Date,Open,High,Low,Close,Volume
27-09-2017,825.599976,825.700012,795.5,799.150024,8434196
28-09-2017,799.650024,802.900024,780.200012,786.450012,13508179
29-09-2017,791.75,793.400024,779.099976,780.900024,7619230
03-10-2017,795,803.849976,785.349976,798.349976,8387059
04-10-2017,799.200012,824.950012,795.599976,818.849976,8643924
05-10-2017,825,828.450012,818.650024,824.150024,4860479
06-10-2017,824,839.349976,822.599976,837.049988,5942106
09-10-2017,839,839.799988,828,830.650024,4046109
10-10-2017,831,847.299988,831,843.200012,6734986
11-10-2017,845.299988,858.400024,836,840.150024,7049800
12-10-2017,842.099976,876.799988,842.099976,872.75,8522926
13-10-2017,879.299988,890.700012,873.349976,876.450012,9833512
16-10-2017,879,892,861.299988,876.799988,14633539
17-10-2017,878,884,867.200012,874.349976,6354084
18-10-2017,877.400024,917.900024,875,914.5,16765178
19-10-2017,915.799988,921.900024,903,909.900024,3664082
23-10-2017,912.900024,944.700012,909.099976,939.75,12551649
24-10-2017,947.700012,947.700012,928.200012,934.25,6335308
25-10-2017,940.099976,945.900024,929.5,939.900024,4577050
26-10-2017,940,957.799988,931,947.400024,7698704
27-10-2017,950,956.700012,925.700012,929.849976,5256749
30-10-2017,934,945.549988,930.599976,942.5,3576533
31-10-2017,944.950012,945.75,932.200012,940.849976,4345360
01-11-2017,947.75,957.799988,945.75,952.549988,8033040
02-11-2017,952.799988,956.5,944.25,946.599976,4698609
03-11-2017,955.950012,955.950012,940.150024,945.299988,2193730
06-11-2017,942.5,942.5,929,932.5,4460799
